sample	samples	TP53
TCGA-H6-A45N-11	TCGA-H6-A45N-11	10.8
TCGA-HC-8262-01	TCGA-HC-8262-01	10.8
TCGA-HC-A6AQ-01	TCGA-HC-A6AQ-01	10.8
TCGA-KJ-A3U4-01	TCGA-KJ-A3U4-01	10.8
TCGA-NJ-A7XG-01	TCGA-NJ-A7XG-01	10.8
TCGA-V5-AASX-01	TCGA-V5-AASX-01	10.8
TCGA-YC-A8S6-01	TCGA-YC-A8S6-01	10.8
TCGA-ZR-A9CJ-01	TCGA-ZR-A9CJ-01	10.8
TCGA-06-0747-01	TCGA-06-0747-01	10.79
TCGA-06-0882-01	TCGA-06-0882-01	10.79
TCGA-27-1832-01	TCGA-27-1832-01	10.79
TCGA-2G-AAFL-01	TCGA-2G-AAFL-01	10.79
TCGA-2G-AAGT-01	TCGA-2G-AAGT-01	10.79
TCGA-4Z-AA81-01	TCGA-4Z-AA81-01	10.79
TCGA-55-7816-01	TCGA-55-7816-01	10.79
TCGA-55-7994-01	TCGA-55-7994-01	10.79
TCGA-5G-A9ZZ-01	TCGA-5G-A9ZZ-01	10.79
TCGA-63-5131-01	TCGA-63-5131-01	10.79
TCGA-67-3772-01	TCGA-67-3772-01	10.79
TCGA-A3-3313-01	TCGA-A3-3313-01	10.79
TCGA-A5-A0GN-01	TCGA-A5-A0GN-01	10.79
TCGA-A7-A13E-01	TCGA-A7-A13E-01	10.79
TCGA-A8-A083-01	TCGA-A8-A083-01	10.79
TCGA-A8-A09G-01	TCGA-A8-A09G-01	10.79
TCGA-AA-3663-01	TCGA-AA-3663-01	10.79
TCGA-AB-2881-03	TCGA-AB-2881-03	10.79
TCGA-AB-2956-03	TCGA-AB-2956-03	10.79
TCGA-AN-A0XR-01	TCGA-AN-A0XR-01	10.79
TCGA-AN-A0XT-01	TCGA-AN-A0XT-01	10.79
TCGA-AO-A0J5-01	TCGA-AO-A0J5-01	10.79
TCGA-AO-A12H-01	TCGA-AO-A12H-01	10.79
TCGA-B6-A0RO-01	TCGA-B6-A0RO-01	10.79
TCGA-B6-A0RV-01	TCGA-B6-A0RV-01	10.79
TCGA-BI-A20A-01	TCGA-BI-A20A-01	10.79
TCGA-BR-7715-01	TCGA-BR-7715-01	10.79
TCGA-BR-8680-01	TCGA-BR-8680-01	10.79
TCGA-CM-6171-01	TCGA-CM-6171-01	10.79
TCGA-CR-6478-01	TCGA-CR-6478-01	10.79
TCGA-D9-A4Z6-06	TCGA-D9-A4Z6-06	10.79
TCGA-D9-A6E9-06	TCGA-D9-A6E9-06	10.79
TCGA-DD-AACK-01	TCGA-DD-AACK-01	10.79
TCGA-DD-AAVS-01	TCGA-DD-AAVS-01	10.79
TCGA-DX-A3UC-01	TCGA-DX-A3UC-01	10.79
TCGA-E2-A1B6-01	TCGA-E2-A1B6-01	10.79
TCGA-EA-A1QT-01	TCGA-EA-A1QT-01	10.79
TCGA-ER-A19N-06	TCGA-ER-A19N-06	10.79
TCGA-F7-8489-01	TCGA-F7-8489-01	10.79
TCGA-FG-A710-01	TCGA-FG-A710-01	10.79
TCGA-FU-A5XV-01	TCGA-FU-A5XV-01	10.79
TCGA-FU-A770-01	TCGA-FU-A770-01	10.79
TCGA-G9-6336-01	TCGA-G9-6336-01	10.79
TCGA-GD-A2C5-01	TCGA-GD-A2C5-01	10.79
TCGA-GN-A266-06	TCGA-GN-A266-06	10.79
TCGA-HR-A2OG-06	TCGA-HR-A2OG-06	10.79
TCGA-HR-A5NC-01	TCGA-HR-A5NC-01	10.79
TCGA-IC-A6RF-01	TCGA-IC-A6RF-01	10.79
TCGA-LD-A66U-01	TCGA-LD-A66U-01	10.79
TCGA-OL-A66K-01	TCGA-OL-A66K-01	10.79
TCGA-V1-A9ZG-01	TCGA-V1-A9ZG-01	10.79
TCGA-VQ-A8P3-01	TCGA-VQ-A8P3-01	10.79
TCGA-VS-A952-01	TCGA-VS-A952-01	10.79
TCGA-ZF-AA5P-01	TCGA-ZF-AA5P-01	10.79
TCGA-ZJ-AAXN-01	TCGA-ZJ-AAXN-01	10.79
TCGA-06-0168-01	TCGA-06-0168-01	10.78
TCGA-14-1402-02	TCGA-14-1402-02	10.78
TCGA-21-1070-01	TCGA-21-1070-01	10.78
TCGA-21-1079-01	TCGA-21-1079-01	10.78
TCGA-62-A46Y-01	TCGA-62-A46Y-01	10.78
TCGA-AA-3518-11	TCGA-AA-3518-11	10.78
TCGA-AA-3867-01	TCGA-AA-3867-01	10.78
TCGA-AR-A24W-01	TCGA-AR-A24W-01	10.78
TCGA-B8-4143-01	TCGA-B8-4143-01	10.78
TCGA-B9-5155-01	TCGA-B9-5155-01	10.78
TCGA-BH-A0AW-01	TCGA-BH-A0AW-01	10.78
TCGA-BH-A0C0-11	TCGA-BH-A0C0-11	10.78
TCGA-BT-A20U-11	TCGA-BT-A20U-11	10.78
TCGA-C5-A2M2-01	TCGA-C5-A2M2-01	10.78
TCGA-C8-A1HN-01	TCGA-C8-A1HN-01	10.78
TCGA-CJ-6027-01	TCGA-CJ-6027-01	10.78
TCGA-D5-5538-01	TCGA-D5-5538-01	10.78
TCGA-DX-A6YR-01	TCGA-DX-A6YR-01	10.78
TCGA-E2-A15P-01	TCGA-E2-A15P-01	10.78
TCGA-ED-A66X-01	TCGA-ED-A66X-01	10.78
TCGA-EE-A29G-06	TCGA-EE-A29G-06	10.78
TCGA-EE-A2GM-06	TCGA-EE-A2GM-06	10.78
TCGA-EE-A2MH-06	TCGA-EE-A2MH-06	10.78
TCGA-EJ-5511-01	TCGA-EJ-5511-01	10.78
TCGA-EQ-A4SO-01	TCGA-EQ-A4SO-01	10.78
TCGA-F7-A624-01	TCGA-F7-A624-01	10.78
TCGA-G9-6329-01	TCGA-G9-6329-01	10.78
TCGA-HU-8608-01	TCGA-HU-8608-01	10.78
TCGA-K4-A83P-01	TCGA-K4-A83P-01	10.78
TCGA-KC-A4BN-01	TCGA-KC-A4BN-01	10.78
TCGA-KK-A8I5-01	TCGA-KK-A8I5-01	10.78
TCGA-MB-A8JL-01	TCGA-MB-A8JL-01	10.78
TCGA-P3-A6SW-01	TCGA-P3-A6SW-01	10.78
TCGA-SY-A9G0-01	TCGA-SY-A9G0-01	10.78
TCGA-V4-A9F3-01	TCGA-V4-A9F3-01	10.78
TCGA-ZF-A9RC-01	TCGA-ZF-A9RC-01	10.78
TCGA-06-0744-01	TCGA-06-0744-01	10.77
TCGA-12-0616-01	TCGA-12-0616-01	10.77
TCGA-22-4594-01	TCGA-22-4594-01	10.77
TCGA-25-1871-01	TCGA-25-1871-01	10.77
TCGA-2G-AAFH-01	TCGA-2G-AAFH-01	10.77
TCGA-50-5055-01	TCGA-50-5055-01	10.77
TCGA-55-7903-01	TCGA-55-7903-01	10.77
TCGA-77-8133-01	TCGA-77-8133-01	10.77
TCGA-78-7162-01	TCGA-78-7162-01	10.77
TCGA-96-7544-01	TCGA-96-7544-01	10.77
TCGA-A2-A04V-01	TCGA-A2-A04V-01	10.77
TCGA-A2-A25A-01	TCGA-A2-A25A-01	10.77
TCGA-A2-A4RY-01	TCGA-A2-A4RY-01	10.77
TCGA-A5-A0VP-01	TCGA-A5-A0VP-01	10.77
TCGA-A5-AB3J-01	TCGA-A5-AB3J-01	10.77
TCGA-A6-2678-11	TCGA-A6-2678-11	10.77
TCGA-A7-A3IY-01	TCGA-A7-A3IY-01	10.77
TCGA-A7-A3RF-01	TCGA-A7-A3RF-01	10.77
TCGA-A8-A07J-01	TCGA-A8-A07J-01	10.77
TCGA-AA-3511-01	TCGA-AA-3511-01	10.77
TCGA-AA-3655-11	TCGA-AA-3655-11	10.77
TCGA-AB-2971-03	TCGA-AB-2971-03	10.77
TCGA-AJ-A3OL-01	TCGA-AJ-A3OL-01	10.77
TCGA-AX-A2HH-01	TCGA-AX-A2HH-01	10.77
TCGA-BH-A28O-01	TCGA-BH-A28O-01	10.77
TCGA-BR-6456-01	TCGA-BR-6456-01	10.77
TCGA-C5-A1BE-01	TCGA-C5-A1BE-01	10.77
TCGA-C5-A7X8-01	TCGA-C5-A7X8-01	10.77
TCGA-CJ-4891-01	TCGA-CJ-4891-01	10.77
TCGA-CJ-6030-01	TCGA-CJ-6030-01	10.77
TCGA-CV-6934-11	TCGA-CV-6934-11	10.77
TCGA-CV-6945-01	TCGA-CV-6945-01	10.77
TCGA-CV-7247-01	TCGA-CV-7247-01	10.77
TCGA-CV-7424-11	TCGA-CV-7424-11	10.77
TCGA-D3-A8GK-06	TCGA-D3-A8GK-06	10.77
TCGA-D7-6817-01	TCGA-D7-6817-01	10.77
TCGA-D8-A1XD-01	TCGA-D8-A1XD-01	10.77
TCGA-DA-A95X-06	TCGA-DA-A95X-06	10.77
TCGA-DD-A3A6-01	TCGA-DD-A3A6-01	10.77
TCGA-DY-A1DF-01	TCGA-DY-A1DF-01	10.77
TCGA-E2-A14Y-01	TCGA-E2-A14Y-01	10.77
TCGA-E7-A97P-01	TCGA-E7-A97P-01	10.77
TCGA-EL-A3MY-01	TCGA-EL-A3MY-01	10.77
TCGA-EM-A3AI-01	TCGA-EM-A3AI-01	10.77
TCGA-FG-A60J-01	TCGA-FG-A60J-01	10.77
TCGA-FR-A726-01	TCGA-FR-A726-01	10.77
TCGA-G9-6385-01	TCGA-G9-6385-01	10.77
TCGA-G9-A9S4-01	TCGA-G9-A9S4-01	10.77
TCGA-GM-A2DO-01	TCGA-GM-A2DO-01	10.77
TCGA-GV-A40G-01	TCGA-GV-A40G-01	10.77
TCGA-HC-A632-01	TCGA-HC-A632-01	10.77
TCGA-L5-A43C-01	TCGA-L5-A43C-01	10.77
TCGA-N7-A4Y5-01	TCGA-N7-A4Y5-01	10.77
TCGA-R8-A6YH-01	TCGA-R8-A6YH-01	10.77
TCGA-WZ-A7V4-01	TCGA-WZ-A7V4-01	10.77
TCGA-YU-A90P-01	TCGA-YU-A90P-01	10.77
TCGA-ZG-A9LN-01	TCGA-ZG-A9LN-01	10.77
TCGA-29-2427-01	TCGA-29-2427-01	10.76
TCGA-2G-AAFI-01	TCGA-2G-AAFI-01	10.76
TCGA-44-3396-01	TCGA-44-3396-01	10.76
TCGA-4Z-AA7W-01	TCGA-4Z-AA7W-01	10.76
TCGA-4Z-AA7Y-01	TCGA-4Z-AA7Y-01	10.76
TCGA-50-5932-01	TCGA-50-5932-01	10.76
TCGA-50-5942-01	TCGA-50-5942-01	10.76
TCGA-63-A5MJ-01	TCGA-63-A5MJ-01	10.76
TCGA-86-8054-01	TCGA-86-8054-01	10.76
TCGA-91-6849-01	TCGA-91-6849-01	10.76
TCGA-A1-A0SF-01	TCGA-A1-A0SF-01	10.76
TCGA-A2-A0YM-01	TCGA-A2-A0YM-01	10.76
TCGA-A5-A1OJ-01	TCGA-A5-A1OJ-01	10.76
TCGA-A6-5661-01	TCGA-A6-5661-01	10.76
TCGA-AA-3517-11	TCGA-AA-3517-11	10.76
TCGA-AB-2927-03	TCGA-AB-2927-03	10.76
TCGA-AC-A3QP-01	TCGA-AC-A3QP-01	10.76
TCGA-AJ-A3EK-01	TCGA-AJ-A3EK-01	10.76
TCGA-AO-A0JA-01	TCGA-AO-A0JA-01	10.76
TCGA-AR-A0TP-01	TCGA-AR-A0TP-01	10.76
TCGA-AX-A06B-01	TCGA-AX-A06B-01	10.76
TCGA-B1-5398-01	TCGA-B1-5398-01	10.76
TCGA-B9-A5W9-01	TCGA-B9-A5W9-01	10.76
TCGA-BH-A1F8-01	TCGA-BH-A1F8-01	10.76
TCGA-BI-A0VS-01	TCGA-BI-A0VS-01	10.76
TCGA-C4-A0F1-01	TCGA-C4-A0F1-01	10.76
TCGA-CJ-4918-01	TCGA-CJ-4918-01	10.76
TCGA-CR-6492-01	TCGA-CR-6492-01	10.76
TCGA-CV-6960-11	TCGA-CV-6960-11	10.76
TCGA-CV-6962-11	TCGA-CV-6962-11	10.76
TCGA-D8-A1J8-01	TCGA-D8-A1J8-01	10.76
TCGA-DU-8167-01	TCGA-DU-8167-01	10.76
TCGA-EJ-5504-01	TCGA-EJ-5504-01	10.76
TCGA-EJ-7115-01	TCGA-EJ-7115-01	10.76
TCGA-EM-A2OY-01	TCGA-EM-A2OY-01	10.76
TCGA-EM-A3FN-01	TCGA-EM-A3FN-01	10.76
TCGA-EW-A1PC-01	TCGA-EW-A1PC-01	10.76
TCGA-FW-A3TV-06	TCGA-FW-A3TV-06	10.76
TCGA-GD-A3OP-11	TCGA-GD-A3OP-11	10.76
TCGA-HC-7736-01	TCGA-HC-7736-01	10.76
TCGA-HC-8265-01	TCGA-HC-8265-01	10.76
TCGA-HC-A6HY-01	TCGA-HC-A6HY-01	10.76
TCGA-HI-7170-01	TCGA-HI-7170-01	10.76
TCGA-HQ-A5NE-01	TCGA-HQ-A5NE-01	10.76
TCGA-J4-A83K-01	TCGA-J4-A83K-01	10.76
TCGA-KK-A59V-01	TCGA-KK-A59V-01	10.76
TCGA-KK-A5A1-01	TCGA-KK-A5A1-01	10.76
TCGA-M7-A722-01	TCGA-M7-A722-01	10.76
TCGA-MQ-A4KX-01	TCGA-MQ-A4KX-01	10.76
TCGA-P3-A5Q6-01	TCGA-P3-A5Q6-01	10.76
TCGA-VD-A8KJ-01	TCGA-VD-A8KJ-01	10.76
TCGA-06-5413-01	TCGA-06-5413-01	10.75
TCGA-51-6867-01	TCGA-51-6867-01	10.75
TCGA-69-7979-01	TCGA-69-7979-01	10.75
TCGA-75-5122-01	TCGA-75-5122-01	10.75
TCGA-77-8008-11	TCGA-77-8008-11	10.75
TCGA-94-A4VJ-01	TCGA-94-A4VJ-01	10.75
TCGA-A2-A0YK-01	TCGA-A2-A0YK-01	10.75
TCGA-A4-8310-01	TCGA-A4-8310-01	10.75
TCGA-A6-A56B-01	TCGA-A6-A56B-01	10.75
TCGA-AJ-A3NE-11	TCGA-AJ-A3NE-11	10.75
TCGA-B0-5095-01	TCGA-B0-5095-01	10.75
TCGA-B8-5551-01	TCGA-B8-5551-01	10.75
TCGA-BH-A0H6-01	TCGA-BH-A0H6-01	10.75
TCGA-BT-A42E-01	TCGA-BT-A42E-01	10.75
TCGA-C5-A1ML-01	TCGA-C5-A1ML-01	10.75
TCGA-C5-A3HE-01	TCGA-C5-A3HE-01	10.75
TCGA-C8-A1HE-01	TCGA-C8-A1HE-01	10.75
TCGA-CD-5800-01	TCGA-CD-5800-01	10.75
TCGA-CH-5761-01	TCGA-CH-5761-01	10.75
TCGA-CV-5434-01	TCGA-CV-5434-01	10.75
TCGA-D3-A8GV-06	TCGA-D3-A8GV-06	10.75
TCGA-D5-6928-01	TCGA-D5-6928-01	10.75
TCGA-D8-A73X-01	TCGA-D8-A73X-01	10.75
TCGA-DU-7006-01	TCGA-DU-7006-01	10.75
TCGA-E8-A2JQ-01	TCGA-E8-A2JQ-01	10.75
TCGA-E9-A1NF-01	TCGA-E9-A1NF-01	10.75
TCGA-EJ-5510-01	TCGA-EJ-5510-01	10.75
TCGA-EK-A2RA-01	TCGA-EK-A2RA-01	10.75
TCGA-FB-AAPP-01	TCGA-FB-AAPP-01	10.75
TCGA-FP-7916-01	TCGA-FP-7916-01	10.75
TCGA-G9-6363-01	TCGA-G9-6363-01	10.75
TCGA-H4-A2HO-01	TCGA-H4-A2HO-01	10.75
TCGA-HC-7818-01	TCGA-HC-7818-01	10.75
TCGA-HC-A48F-01	TCGA-HC-A48F-01	10.75
TCGA-HT-A74O-01	TCGA-HT-A74O-01	10.75
TCGA-JW-A5VI-01	TCGA-JW-A5VI-01	10.75
TCGA-KK-A8I4-01	TCGA-KK-A8I4-01	10.75
TCGA-MX-A5UJ-01	TCGA-MX-A5UJ-01	10.75
TCGA-NC-A5HD-01	TCGA-NC-A5HD-01	10.75
TCGA-NK-A5CX-01	TCGA-NK-A5CX-01	10.75
TCGA-QC-A6FX-01	TCGA-QC-A6FX-01	10.75
TCGA-WC-A87Y-01	TCGA-WC-A87Y-01	10.75
TCGA-XF-A9SV-01	TCGA-XF-A9SV-01	10.75
TCGA-YT-A95F-01	TCGA-YT-A95F-01	10.75
TCGA-06-0219-01	TCGA-06-0219-01	10.74
TCGA-22-1016-01	TCGA-22-1016-01	10.74
TCGA-22-5491-01	TCGA-22-5491-01	10.74
TCGA-23-1114-01	TCGA-23-1114-01	10.74
TCGA-43-A475-01	TCGA-43-A475-01	10.74
TCGA-77-7335-01	TCGA-77-7335-01	10.74
TCGA-78-7536-01	TCGA-78-7536-01	10.74
TCGA-96-7545-01	TCGA-96-7545-01	10.74
TCGA-97-8177-01	TCGA-97-8177-01	10.74
TCGA-A1-A0SI-01	TCGA-A1-A0SI-01	10.74
TCGA-AA-3520-11	TCGA-AA-3520-11	10.74
TCGA-AB-2970-03	TCGA-AB-2970-03	10.74
TCGA-AB-2982-03	TCGA-AB-2982-03	10.74
TCGA-AC-A3YJ-01	TCGA-AC-A3YJ-01	10.74
TCGA-BH-A0BQ-01	TCGA-BH-A0BQ-01	10.74
TCGA-BH-A0HI-01	TCGA-BH-A0HI-01	10.74
TCGA-BH-A1FB-11	TCGA-BH-A1FB-11	10.74
TCGA-BH-A42T-01	TCGA-BH-A42T-01	10.74
TCGA-C5-A1MK-01	TCGA-C5-A1MK-01	10.74
TCGA-CG-4305-01	TCGA-CG-4305-01	10.74
TCGA-CG-5721-01	TCGA-CG-5721-01	10.74
TCGA-CH-5745-01	TCGA-CH-5745-01	10.74
TCGA-CV-6436-01	TCGA-CV-6436-01	10.74
TCGA-D3-A2JH-06	TCGA-D3-A2JH-06	10.74
TCGA-D3-A3MR-06	TCGA-D3-A3MR-06	10.74
TCGA-D6-6824-01	TCGA-D6-6824-01	10.74
TCGA-DJ-A2Q1-01	TCGA-DJ-A2Q1-01	10.74
TCGA-DU-7009-01	TCGA-DU-7009-01	10.74
TCGA-E2-A1B4-01	TCGA-E2-A1B4-01	10.74
TCGA-E2-A1L6-01	TCGA-E2-A1L6-01	10.74
TCGA-EE-A29Q-06	TCGA-EE-A29Q-06	10.74
TCGA-EE-A3AH-06	TCGA-EE-A3AH-06	10.74
TCGA-EJ-7789-01	TCGA-EJ-7789-01	10.74
TCGA-F4-6857-01	TCGA-F4-6857-01	10.74
TCGA-FG-5964-01	TCGA-FG-5964-01	10.74
TCGA-FG-8185-01	TCGA-FG-8185-01	10.74
TCGA-FL-A1YG-11	TCGA-FL-A1YG-11	10.74
TCGA-FS-A1ZM-06	TCGA-FS-A1ZM-06	10.74
TCGA-GC-A3YS-01	TCGA-GC-A3YS-01	10.74
TCGA-HU-A4GY-01	TCGA-HU-A4GY-01	10.74
TCGA-MX-A5UG-01	TCGA-MX-A5UG-01	10.74
TCGA-N8-A4PN-01	TCGA-N8-A4PN-01	10.74
TCGA-P3-A6T6-01	TCGA-P3-A6T6-01	10.74
TCGA-VS-A8EL-01	TCGA-VS-A8EL-01	10.74
TCGA-W5-AA2T-01	TCGA-W5-AA2T-01	10.74
TCGA-ZM-AA0E-01	TCGA-ZM-AA0E-01	10.74
TCGA-14-0789-01	TCGA-14-0789-01	10.73
TCGA-37-A5EM-01	TCGA-37-A5EM-01	10.73
TCGA-49-6745-01	TCGA-49-6745-01	10.73
TCGA-75-7031-01	TCGA-75-7031-01	10.73
TCGA-78-7167-01	TCGA-78-7167-01	10.73
TCGA-AB-2851-03	TCGA-AB-2851-03	10.73
TCGA-AB-2867-03	TCGA-AB-2867-03	10.73
TCGA-AB-2977-03	TCGA-AB-2977-03	10.73
TCGA-AG-3731-01	TCGA-AG-3731-01	10.73
TCGA-AN-A0FF-01	TCGA-AN-A0FF-01	10.73
TCGA-AR-A2LH-01	TCGA-AR-A2LH-01	10.73
TCGA-BH-A0DK-11	TCGA-BH-A0DK-11	10.73
TCGA-BH-A1FE-01	TCGA-BH-A1FE-01	10.73
TCGA-BP-4177-01	TCGA-BP-4177-01	10.73
TCGA-C5-A1MQ-01	TCGA-C5-A1MQ-01	10.73
TCGA-CC-A3MA-01	TCGA-CC-A3MA-01	10.73
TCGA-CH-5738-01	TCGA-CH-5738-01	10.73
TCGA-CQ-6225-01	TCGA-CQ-6225-01	10.73
TCGA-D7-A747-01	TCGA-D7-A747-01	10.73
TCGA-DD-A4NN-01	TCGA-DD-A4NN-01	10.73
TCGA-DU-6396-01	TCGA-DU-6396-01	10.73
TCGA-DU-6405-01	TCGA-DU-6405-01	10.73
TCGA-EE-A2MI-06	TCGA-EE-A2MI-06	10.73
TCGA-ER-A19M-06	TCGA-ER-A19M-06	10.73
TCGA-ER-A2NF-06	TCGA-ER-A2NF-06	10.73
TCGA-ER-A3ES-06	TCGA-ER-A3ES-06	10.73
TCGA-G2-A3IE-01	TCGA-G2-A3IE-01	10.73
TCGA-G8-6324-01	TCGA-G8-6324-01	10.73
TCGA-GN-A9SD-06	TCGA-GN-A9SD-06	10.73
TCGA-HC-7230-01	TCGA-HC-7230-01	10.73
TCGA-HC-8259-01	TCGA-HC-8259-01	10.73
TCGA-J4-A67N-01	TCGA-J4-A67N-01	10.73
TCGA-L5-A8NJ-01	TCGA-L5-A8NJ-01	10.73
TCGA-LK-A4O2-01	TCGA-LK-A4O2-01	10.73
TCGA-NK-A7XE-01	TCGA-NK-A7XE-01	10.73
TCGA-P5-A735-01	TCGA-P5-A735-01	10.73
TCGA-RS-A6TP-01	TCGA-RS-A6TP-01	10.73
TCGA-UZ-A9PN-01	TCGA-UZ-A9PN-01	10.73
TCGA-V4-A9EO-01	TCGA-V4-A9EO-01	10.73
TCGA-V5-AASV-01	TCGA-V5-AASV-01	10.73
TCGA-VS-A9V0-01	TCGA-VS-A9V0-01	10.73
TCGA-ZM-AA0D-01	TCGA-ZM-AA0D-01	10.73
TCGA-2G-AAHN-01	TCGA-2G-AAHN-01	10.72
TCGA-60-2722-01	TCGA-60-2722-01	10.72
TCGA-76-4927-01	TCGA-76-4927-01	10.72
TCGA-78-7161-01	TCGA-78-7161-01	10.72
TCGA-85-7844-01	TCGA-85-7844-01	10.72
TCGA-85-8071-01	TCGA-85-8071-01	10.72
TCGA-A3-3363-01	TCGA-A3-3363-01	10.72
TCGA-A4-8311-01	TCGA-A4-8311-01	10.72
TCGA-A5-A1OF-01	TCGA-A5-A1OF-01	10.72
TCGA-A6-2679-11	TCGA-A6-2679-11	10.72
TCGA-A7-A0CJ-01	TCGA-A7-A0CJ-01	10.72
TCGA-AB-2814-03	TCGA-AB-2814-03	10.72
TCGA-AB-3012-03	TCGA-AB-3012-03	10.72
TCGA-AN-A0AS-01	TCGA-AN-A0AS-01	10.72
TCGA-AO-A03V-01	TCGA-AO-A03V-01	10.72
TCGA-AR-A255-01	TCGA-AR-A255-01	10.72
TCGA-B1-A47N-01	TCGA-B1-A47N-01	10.72
TCGA-C5-A8YQ-01	TCGA-C5-A8YQ-01	10.72
TCGA-CD-5804-01	TCGA-CD-5804-01	10.72
TCGA-CH-5748-01	TCGA-CH-5748-01	10.72
TCGA-D3-A3CE-06	TCGA-D3-A3CE-06	10.72
TCGA-D3-A51H-06	TCGA-D3-A51H-06	10.72
TCGA-D6-A6EQ-01	TCGA-D6-A6EQ-01	10.72
TCGA-DB-A4XG-01	TCGA-DB-A4XG-01	10.72
TCGA-DX-A23V-01	TCGA-DX-A23V-01	10.72
TCGA-E2-A14Q-01	TCGA-E2-A14Q-01	10.72
TCGA-EB-A5VU-01	TCGA-EB-A5VU-01	10.72
TCGA-EJ-7123-01	TCGA-EJ-7123-01	10.72
TCGA-ET-A3DT-01	TCGA-ET-A3DT-01	10.72
TCGA-EW-A1P7-01	TCGA-EW-A1P7-01	10.72
TCGA-FD-A43U-01	TCGA-FD-A43U-01	10.72
TCGA-FS-A1ZW-06	TCGA-FS-A1ZW-06	10.72
TCGA-IQ-7631-01	TCGA-IQ-7631-01	10.72
TCGA-L9-A7SV-01	TCGA-L9-A7SV-01	10.72
TCGA-LD-A7W6-01	TCGA-LD-A7W6-01	10.72
TCGA-OR-A5K6-01	TCGA-OR-A5K6-01	10.72
TCGA-QH-A6X8-01	TCGA-QH-A6X8-01	10.72
TCGA-QQ-A8VG-01	TCGA-QQ-A8VG-01	10.72
TCGA-TS-A7PB-01	TCGA-TS-A7PB-01	10.72
TCGA-UF-A7JT-01	TCGA-UF-A7JT-01	10.72
TCGA-V1-A8MJ-01	TCGA-V1-A8MJ-01	10.72
TCGA-ZF-AA4X-01	TCGA-ZF-AA4X-01	10.72
TCGA-12-0619-01	TCGA-12-0619-01	10.71
TCGA-2G-AAHP-05	TCGA-2G-AAHP-05	10.71
TCGA-3B-A9HS-01	TCGA-3B-A9HS-01	10.71
TCGA-3H-AB3O-01	TCGA-3H-AB3O-01	10.71
TCGA-55-6971-01	TCGA-55-6971-01	10.71
TCGA-60-2709-01	TCGA-60-2709-01	10.71
TCGA-98-7454-01	TCGA-98-7454-01	10.71
TCGA-A6-2684-11	TCGA-A6-2684-11	10.71
TCGA-A7-A4SF-01	TCGA-A7-A4SF-01	10.71
TCGA-A8-A08Z-01	TCGA-A8-A08Z-01	10.71
TCGA-AB-2826-03	TCGA-AB-2826-03	10.71
TCGA-B0-5097-01	TCGA-B0-5097-01	10.71
TCGA-BG-A0M2-01	TCGA-BG-A0M2-01	10.71
TCGA-BH-A0H7-11	TCGA-BH-A0H7-11	10.71
TCGA-C5-A2M1-01	TCGA-C5-A2M1-01	10.71
TCGA-D3-A1Q5-06	TCGA-D3-A1Q5-06	10.71
TCGA-D3-A3CB-06	TCGA-D3-A3CB-06	10.71
TCGA-DK-A2I2-01	TCGA-DK-A2I2-01	10.71
TCGA-DU-6542-01	TCGA-DU-6542-01	10.71
TCGA-DX-A3LT-01	TCGA-DX-A3LT-01	10.71
TCGA-EJ-5512-01	TCGA-EJ-5512-01	10.71
TCGA-EW-A1OV-01	TCGA-EW-A1OV-01	10.71
TCGA-JX-A5QV-01	TCGA-JX-A5QV-01	10.71
TCGA-LN-A8I0-01	TCGA-LN-A8I0-01	10.71
TCGA-MI-A75C-01	TCGA-MI-A75C-01	10.71
TCGA-MP-A4TD-01	TCGA-MP-A4TD-01	10.71
TCGA-S5-AA26-01	TCGA-S5-AA26-01	10.71
TCGA-SN-A6IS-01	TCGA-SN-A6IS-01	10.71
TCGA-UZ-A9PL-01	TCGA-UZ-A9PL-01	10.71
TCGA-VF-A8AE-01	TCGA-VF-A8AE-01	10.71
TCGA-VQ-A91X-01	TCGA-VQ-A91X-01	10.71
TCGA-05-4403-01	TCGA-05-4403-01	10.7
TCGA-05-4410-01	TCGA-05-4410-01	10.7
TCGA-06-5408-01	TCGA-06-5408-01	10.7
TCGA-2Z-A9J6-01	TCGA-2Z-A9J6-01	10.7
TCGA-34-2608-01	TCGA-34-2608-01	10.7
TCGA-86-8359-01	TCGA-86-8359-01	10.7
TCGA-A3-3325-01	TCGA-A3-3325-01	10.7
TCGA-A5-A0G5-01	TCGA-A5-A0G5-01	10.7
TCGA-A6-2682-11	TCGA-A6-2682-11	10.7
TCGA-A8-A081-01	TCGA-A8-A081-01	10.7
TCGA-A8-A08S-01	TCGA-A8-A08S-01	10.7
TCGA-AB-2911-03	TCGA-AB-2911-03	10.7
TCGA-AB-2932-03	TCGA-AB-2932-03	10.7
TCGA-AG-A02N-01	TCGA-AG-A02N-01	10.7
TCGA-AO-A12C-01	TCGA-AO-A12C-01	10.7
TCGA-AR-A1AT-01	TCGA-AR-A1AT-01	10.7
TCGA-B0-5109-01	TCGA-B0-5109-01	10.7
TCGA-B0-5400-01	TCGA-B0-5400-01	10.7
TCGA-B6-A0WV-01	TCGA-B6-A0WV-01	10.7
TCGA-BF-A3DJ-01	TCGA-BF-A3DJ-01	10.7
TCGA-BF-AAP2-01	TCGA-BF-AAP2-01	10.7
TCGA-C8-A26X-01	TCGA-C8-A26X-01	10.7
