sample	samples	TP53 (average)
TCGA-77-7140-01	TCGA-77-7140-01	0.3825
TCGA-DW-7836-01	TCGA-DW-7836-01	0.3814
TCGA-A3-3363-01	TCGA-A3-3363-01	0.3813
TCGA-25-2400-01	TCGA-25-2400-01	0.38060000000000005
TCGA-UN-AAZ9-01	TCGA-UN-AAZ9-01	0.38040000000000007
TCGA-63-A5ML-01	TCGA-63-A5ML-01	0.3802
TCGA-MH-A562-01	TCGA-MH-A562-01	0.3802
TCGA-A4-A5DU-01	TCGA-A4-A5DU-01	0.3801
TCGA-IZ-A6M8-01	TCGA-IZ-A6M8-01	0.3789
TCGA-P4-A5E7-01	TCGA-P4-A5E7-01	0.37849999999999995
TCGA-DW-7842-01	TCGA-DW-7842-01	0.37829999999999997
TCGA-FX-A3RE-01	TCGA-FX-A3RE-01	0.3771
TCGA-A4-8517-01	TCGA-A4-8517-01	0.3767
TCGA-VD-AA8S-01	TCGA-VD-AA8S-01	0.37600000000000006
TCGA-UZ-A9Q0-01	TCGA-UZ-A9Q0-01	0.37590000000000007
TCGA-UZ-A9PS-01	TCGA-UZ-A9PS-01	0.3756
TCGA-MZ-A7D7-01	TCGA-MZ-A7D7-01	0.3753
TCGA-G7-A8LB-01	TCGA-G7-A8LB-01	0.3748
TCGA-85-A5B5-01	TCGA-85-A5B5-01	0.37399999999999994
TCGA-A4-A6HP-01	TCGA-A4-A6HP-01	0.3737
TCGA-29-1697-01	TCGA-29-1697-01	0.3725
TCGA-UF-A719-01	TCGA-UF-A719-01	0.3724
TCGA-57-1992-01	TCGA-57-1992-01	0.3723
TCGA-F9-A7VF-01	TCGA-F9-A7VF-01	0.3721
TCGA-44-6148-01	TCGA-44-6148-01	0.3709
TCGA-HE-A5NF-01	TCGA-HE-A5NF-01	0.3684
TCGA-CV-5432-01	TCGA-CV-5432-01	0.3674
TCGA-A4-8516-01	TCGA-A4-8516-01	0.3672
TCGA-13-1489-01	TCGA-13-1489-01	0.3663
TCGA-B3-3925-01	TCGA-B3-3925-01	0.3654
TCGA-24-1474-01	TCGA-24-1474-01	0.3653
